Date,Artist,Venue,City,State,
"Dec. 03, 1988",Hurricane,The Palace Of Auburn Hills,Auburn Hills,Michigan,
"Dec. 03, 1988",Stryper,The Palace Of Auburn Hills,Auburn Hills,Michigan,
,,,,,
"Sept. 25, 1993",The Whooligans,State Theatre ,Detroit,Michigan,
"Sept. 25, 1993",Funkdoobiest,State Theatre ,Detroit,Michigan,
"Sept. 25, 1993",House Of Pain,State Theatre ,Detroit,Michigan,
"Sept. 25, 1993",Cypress Hill,State Theatre ,Detroit,Michigan,
,,,,,
"Oct. 29, 1993",The Boredoms,Michigan State Fair Coliseum,Detroit,Michigan,
"Oct. 29, 1993",Meat Puppets,Michigan State Fair Coliseum,Detroit,Michigan,
"Oct. 29, 1993",Nirvana,Michigan State Fair Coliseum,Detroit,Michigan,
,,,,,
"Feb. 03, 1994",Obsession,State Theatre ,Detroit,Michigan,
"Feb. 03, 1994",Prong,State Theatre ,Detroit,Michigan,
"Feb. 03, 1994",White Zombie,State Theatre ,Detroit,Michigan,
,,,,,
"Feb. 26, 1994",Failure,State Theatre ,Detroit,Michigan,
"Feb. 26, 1994",Tool,State Theatre ,Detroit,Michigan,
,,,,,
"Mar. 22, 1994",Primus,The Palace Of Auburn Hills,Auburn Hills,Michigan,
"Mar. 22, 1994",Rush,The Palace Of Auburn Hills,Auburn Hills,Michigan,
,,,,,
"May 19, 1994",Failure,Phoenix Plaza Ampithetre,Pontiac,Michigan,
"May 19, 1994",Flaming Lips,Phoenix Plaza Ampithetre,Pontiac,Michigan,
"May 19, 1994",Tool,Phoenix Plaza Ampithetre,Pontiac,Michigan,
,,,,,
"Jun. 25, 1994",Biohazard,The Palace Of Auburn Hills,Auburn Hills,Michigan,
"Jun. 25, 1994",Sepultura,The Palace Of Auburn Hills,Auburn Hills,Michigan,
"Jun. 25, 1994",Pantera,The Palace Of Auburn Hills,Auburn Hills,Michigan,
,,,,,
"Sep. 24, 1994",Cell,UNF Arena,Jacksonville,Florida,
"Sep. 24, 1994",Green Day,UNF Arena,Jacksonville,Florida,
,,,,,
"Nov. 18, 1994",Marilyn Manson,Jacksonville Coliseum,Jacksonville,Florida,
"Nov. 18, 1994",Jim Rose Circus,Jacksonville Coliseum,Jacksonville,Florida,
"Nov. 18, 1994",Nine Inch Nails,Jacksonville Coliseum,Jacksonville,Florida,
,,,,,
"Jan. 19, 1995",Kepone,The Edge,Jacksonville,Florida,
"Jan. 19, 1995",Helmet,The Edge,Jacksonville,Florida,
,,,,,
"Jan. 24, 1995",Type O Negative,UNF Arena,Jacksonville,Florida,
"Jan. 24, 1995",Pantera,UNF Arena,Jacksonville,Florida,
,,,,,
"Oct. 10, 1995",Sugar Ray,Milk Bar,Jacksonville,Florida,
"Oct. 10, 1995",Deftones,Milk Bar,Jacksonville,Florida,
"Oct. 10, 1995",Monster Magnet,Milk Bar,Jacksonville,Florida,
,,,,,
"Oct. 18, 1995",Gizzard,Milk Bar,Jacksonville,Florida,
"Oct. 18, 1995",Joy Killer,Milk Bar,Jacksonville,Florida,
"Oct. 18, 1995",Pennywise,Milk Bar,Jacksonville,Florida,
,,,,,
"Oct. 31, 1995",Blink-182,Milk Bar,Jacksonville,Florida,
"Oct. 31, 1995",Sprung Monkey,Milk Bar,Jacksonville,Florida,
"Oct. 31, 1995",Unwritten Law,Milk Bar,Jacksonville,Florida,
"Oct. 31, 1995",7 Seconds,Milk Bar,Jacksonville,Florida,
,,,,,
"Nov. 29, 1995",Sacajaweeda,Milk Bar,Jacksonville,Florida,
